k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
5,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
5,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
5,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.393972,1.4727885,1.63798,1.677159,1.811294,2.171598
5,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.378746,1.6294235,1.9254890000000002,1.9453586666666667,2.3241259999999997,2.454688
5,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.557462,1.761728,1.965994,1.900304,2.071725,2.177456
5,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.563198,1.6823285000000001,1.801459,1.801459,1.9205895,2.03972
5,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.371356,1.530172,1.784336,1.7158431111111112,1.826452,2.167316
5,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
5,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
6,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.36977166666667,1.503846666666665,1.78933666666667,1.7604517543859652,1.898354166666665,2.38484666666667
6,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.37683,1.57670666666667,1.71319666666667,1.8297828205128208,2.108135,2.51106833333333
6,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.50008166666667,1.55300041666667,1.5826783333333352,1.7271650000000016,1.8710337499999976,2.18729166666667
