k,Outcome_label,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_q25,sws_median,sws_mean,sws_q75
3,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.5227499999999998,1.55622666666667,1.53858111111111,1.5632350000000002
3,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
3,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
3,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
3,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
3,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
3,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
3,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
3,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
3,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
3,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
3,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
3,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
3,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
3,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
3,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
3,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
3,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
3,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
3,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
3,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
3,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
3,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.49556166666667,2.50728666666667,2.50728666666667,2.51901166666667
3,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.72508666666667,2.0335,2.22904431372549,2.78745
3,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.94993166666667,2.31245,2.3755512345679013,2.726651666666665
3,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.76011333333333,2.054036666666665,2.115560833333333,2.3201108333333327
3,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.51541333333333,2.14687333333333,2.2441057142857144,2.91642
3,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.437526666666665,1.642695,1.6715670833333325,1.7842383333333325
3,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.6850874999999974,2.022785,1.983115555555555,2.3551200000000025
3,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.745278333333335,1.98977,1.8840044444444468,2.075613333333335
