k,Outcome_group,n_obs,n_subjects,time_to_delivery_min_weeks,time_to_delivery_max_weeks,closest_pre_delivery_weeks,closest_post_delivery_weeks,sws_min,sws_q10,sws_q25,sws_median,sws_mean,sws_q75,sws_q90,sws_max,observed_min_sws,observed_min_time_min_weeks,observed_min_time_max_weeks,observed_min_visit_ids,n_min_rows,example_participant_ids,period,minimum_median_bin_left_weeks,minimum_median_bin_right_weeks,minimum_median_bin_mid_weeks,minimum_median_bin,minimum_bin_n_obs,minimum_bin_n_subjects,minimum_bin_sws_min,minimum_bin_sws_q25,minimum_bin_sws_median,minimum_bin_sws_mean,minimum_bin_sws_q75,minimum_bin_sws_max
4,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.363495,1.5355050000000001,1.834915,2.818272,2.8025628454545455,3.810398,4.1182666,4.468907,1.363495,-6.571428571428591,-6.571428571428591,2,1,C355,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.52039,1.523225,1.52606,1.5320408333333333,1.53786625,1.5496725
4,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.38022,1.468147,1.59128875,1.9111075,2.2983841666666667,2.6613854999999997,3.7230618000000004,4.901587,1.38022,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.3935075,1.464788125,1.640115,1.671435,1.7664668749999999,2.2311425
5,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.371356,1.4916261999999998,1.6993755000000001,2.3315669999999997,2.5912675319148937,3.3557782499999997,4.0744530999999995,4.901587,1.371356,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.504544,1.5476685,1.5550199999999998,1.7173443333333334,1.863861,2.177456
5,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.381078,1.5410460000000001,1.835024,2.818272,2.8004660181818184,3.810398,4.1182666,4.468907,1.381078,-6.571428571428591,-6.571428571428591,2,1,C355,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.504544,1.5252880000000002,1.546032,1.5343846666666667,1.549305,1.552578
5,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.371356,1.4724808,1.56033,1.955352,2.2962440256410255,2.6613854999999997,3.7230618000000004,4.901587,1.371356,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.393972,1.4727885,1.63798,1.677159,1.811294,2.171598
6,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.36427833333333,1.497727833333331,1.71586666666667,2.309949666666665,2.59353935106383,3.3557782499999997,4.0744530999999995,4.901587,1.36427833333333,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.50008166666667,1.55300041666667,1.5826783333333352,1.7271650000000016,1.8710337499999976,2.18729166666667
6,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.36977166666667,1.523185666666666,1.843695833333335,2.818272,2.8036297090909095,3.810398,4.1182666,4.468907,1.36977166666667,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.50008166666667,1.52311416666667,1.5461466666666701,1.54600777777778,1.568970833333335,1.591795
6,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.36427833333333,1.4801959999999998,1.560645,1.96411333333333,2.297258076923077,2.6613854999999997,3.7230618000000004,4.901587,1.36427833333333,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.41790666666667,1.4871762499999999,1.664459166666665,1.682921875,1.807925833333335,2.114445
7,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.34802714285714,1.488516999999998,1.7336839285714325,2.2838426428571452,2.5936592826747717,3.3557782499999997,4.0744530999999995,4.901587,1.34802714285714,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.48274714285714,1.5534971428571422,1.588634285714285,1.7240233333333317,1.8504342857142824,2.20463857142857
7,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.36250714285714,1.5187774285714282,1.834055714285715,2.818272,2.8004821896103897,3.810398,4.1182666,4.468907,1.36250714285714,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.48274714285714,1.5141478571428548,1.54554857142857,1.5352128571428567,1.561445714285715,1.57734285714286
